relative_index,rx,ry,rz,vx,vy,vz,is_correct
0,0.206425,0.0027916666666666667,14.0,-0.038197103463637035,-0.00021234491789260892,-0.9992702017956024,True
1,0.28379166666666666,0.002375,14.0,-0.05430723720940301,0.0002496310604761324,-0.9985242419045297,True
2,0.182625,-0.016308333333333338,14.0,-0.036051536156266106,0.0008369552746346021,-0.9993495816012743,True
3,0.297525,-0.004691666666666667,14.0,-0.058126542706607776,0.0006364220004703475,-0.9983090202938236,True
4,0.260125,-0.0018416666666666666,14.0,-0.04841814491672247,-0.00023722144235831114,-0.998827125667305,True
5,0.250775,-0.014124999999999999,14.0,-0.048368313841908,0.0005743269067443882,-0.9988294030337187,True
6,0.169875,0.0012749999999999999,14.0,-0.03485380389595993,0.0006246201415046626,-0.9993922264074603,True
7,0.19062499999999996,0.008325,14.0,-0.037348899321511524,-0.0011242143608481724,-0.9993016540872642,True
8,0.26565833333333333,-0.017175000000000003,14.0,-0.053187101570787,0.0005741860296008284,-0.9985843993057885,True
9,0.17977500000000002,0.013158333333333334,14.0,-0.035278020963942294,-0.0005871342016258903,-0.9993773644176145,True
10,0.20229166666666668,0.016558333333333338,14.0,-0.040554100161906255,-0.0007119136748949075,-0.9991770904794492,True
11,0.217075,0.0016916666666666666,14.0,-0.04236193639068185,-0.0003371970172782676,-0.9991022733651459,True
12,0.226625,0.010825000000000001,14.0,-0.044406125941152806,-0.0010989142527619254,-0.9990129570562956,True
13,0.23725833333333335,-0.011825000000000002,14.0,-0.04686095872222522,0.00042453306594001104,-0.9989013316235543,True
14,0.263225,-0.0010083333333333333,14.0,-0.05382187255906811,-0.0002870832720136501,-0.9985505112999692,True
15,0.15479166666666666,0.012791666666666668,14.0,-0.03344377137762439,-0.0007620732382108357,-0.9994403100738036,True
16,0.199075,0.004025,14.0,-0.03979344911497718,-0.0005745444630536529,-0.9992077618324399,True
17,0.193175,0.0038583333333333334,14.0,-0.04041694744724766,-0.00021232636175492483,-0.9991828787947492,True
18,0.17205833333333334,0.008325,14.0,-0.03628856898998135,-0.0008744233491107047,-0.9993409704122341,True
19,0.18834166666666666,-0.001341666666666667,14.0,-0.038184629159266556,-0.0003622356033851574,-0.9992706354543482,True
20,0.17969166666666667,0.00024166666666666664,14.0,-0.03678758087232382,-0.0002373392333476955,-0.9993230796712594,True
21,0.30409166666666665,0.007208333333333333,14.0,-0.06000418377282283,-0.00018716214215375992,-0.9981981080427321,True
22,0.2763583333333333,0.004908333333333333,14.0,-0.052963055341062486,-0.0004368859176544517,-0.9985963768708731,True
23,0.16895833333333332,-0.006141666666666667,14.0,-0.03404275658237523,-3.747826589838851e-05,-0.9994203766782289,True
24,0.23722500000000002,-0.0020916666666666666,14.0,-0.04418181334726424,-0.00023726807621301656,-0.999023478739718,True
25,0.17690833333333333,0.0004083333333333333,14.0,-0.03751107836254525,0.0004122096503849398,-0.9992961268229171,True
26,0.23604166666666668,0.0033083333333333333,14.0,-0.043945001257346496,-0.0004620531510326688,-0.9990338449579063,True
27,0.239275,0.014025000000000001,14.0,-0.04809426141190475,-0.0008989581572318673,-0.9988423969242969,True
28,0.196875,0.0010750000000000002,14.0,-0.03802247968799689,-0.0005496022031116486,-0.9992767329302701,True
29,0.282775,0.0019249999999999998,14.0,-0.05601191288555764,-0.0007488223647801801,-0.9984298197069069,True
30,0.1845583333333333,8.333333333333247e-06,14.0,-0.0388331837560049,-0.0003622265471863155,-0.9992456417874941,True
31,0.28292500000000004,-0.011858333333333334,14.0,-0.056260745047419514,0.0003120050191345409,-0.9984160611786939,True
32,0.24702499999999997,-0.014191666666666667,14.0,-0.046399966685902516,0.0004120556783407851,-0.9989228565318071,True
33,0.24349166666666666,0.0036416666666666667,14.0,-0.04608847252653816,1.2486714626206847e-05,-0.9989373616720185,True
34,0.20414166666666667,-0.009725000000000001,14.0,-0.039756034207142216,0.0007244266364732406,-0.9992091537561939,True
35,0.18565833333333334,0.001875,14.0,-0.036937275339501446,-0.00022484645115875742,-0.9993175607055883,True
36,0.18715833333333332,0.004908333333333334,14.0,-0.03686242875389677,0.00018737256036957647,-0.9993203321447469,True
37,0.19334166666666666,0.015158333333333336,14.0,-0.039780969712795156,-0.0008867971249680042,-0.9992080304118701,True
38,0.257075,-0.002475,14.0,-0.049688532931667403,0.0007490733607789104,-0.9987644810385471,True
39,0.209225,-0.0041916666666666665,14.0,-0.03884564886139885,0.0006869809284527483,-0.9992449867883956,True
40,0.28092500000000004,-0.004375,14.0,-0.05668371570279018,-0.00014975882616324963,-0.9983921744216645,True
41,0.24684166666666665,0.01680833333333334,14.0,-0.049103174269145754,-0.00093636869060649,-0.9987932726497358,True
42,0.18050833333333335,0.0045583333333333335,14.0,-0.03656303507923658,-0.00018737462649638157,-0.9993313311192358,True
43,0.16845833333333335,0.006308333333333333,14.0,-0.03736139522864977,-0.00028729926314632903,-0.9993017780459027,True
44,0.233675,-0.019241666666666667,14.0,-0.04475507703236214,0.001211284171976788,-0.9989972551866606,True
45,0.19115833333333332,-0.000625,14.0,-0.040903233735311365,0.0005495396287817174,-0.9991629614213045,True
46,0.21985833333333335,0.003041666666666667,14.0,-0.04232453952689245,-6.244399238038927e-05,-0.9991039132415529,True
47,0.23825833333333332,-0.013325000000000004,14.0,-0.05009948124817661,0.0010237123005574491,-0.9987437078609253,True
48,0.25369166666666665,-0.007091666666666667,14.0,-0.05301284976179078,-8.737695706126464e-05,-0.9985938264006046,True
49,0.281525,-0.004258333333333334,14.0,-0.05494188409692358,-0.0003619524395487315,-0.9984894883584462,True
50,0.25104166666666666,0.006575000000000001,14.0,-0.04900353445393141,-0.0009488582467019738,-0.9987981544231299,True
51,0.2429416666666667,-0.023308333333333334,14.0,-0.04688584331469248,0.0012611105634197394,-0.998899458052119,True
52,0.220925,-0.003325,14.0,-0.04188820258491998,-2.4978057593869985e-05,-0.9991223037548012,True
53,0.253075,-0.0020583333333333335,14.0,-0.051083202766410554,0.0007864715968844164,-0.9986940912299187,True
54,0.1854583333333333,-0.009691666666666668,14.0,-0.04018002613609511,0.00016236876998693362,-0.9991924434942878,True
