,rx,ry,rz,vx,vy,vz,is_correct
0,0.0067,-0.0001,-0.18333333333333332,0.0,0.0,1.0,True
1,-0.0019,0.0059,-0.18333333333333332,0.0,0.0,1.0,True
2,0.0019,-0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
3,0.007500000000000001,0.004300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
4,0.004900000000000001,-0.005300000000000002,-0.18333333333333332,0.0,0.0,1.0,True
5,-0.0029,-0.0061,-0.18333333333333332,0.0,0.0,1.0,True
6,0.0007000000000000001,0.009899999999999999,-0.18333333333333332,0.0,0.0,1.0,True
7,0.004300000000000001,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
8,-0.0005,-0.0091,-0.18333333333333332,0.0,0.0,1.0,True
9,0.0017000000000000001,0.0051,-0.18333333333333332,0.0,0.0,1.0,True
10,-0.0065000000000000014,0.0065000000000000014,-0.18333333333333332,0.0,0.0,1.0,True
11,-0.0005,-0.0029,-0.18333333333333332,0.0,0.0,1.0,True
12,0.0009000000000000001,-0.0045000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
13,-0.0061,-0.0059,-0.18333333333333332,0.0,0.0,1.0,True
14,-0.0007000000000000001,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
15,-0.007300000000000001,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
16,-0.0045000000000000005,-0.0041,-0.18333333333333332,0.0,0.0,1.0,True
17,-0.0067,0.0009000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
18,-0.0070999999999999995,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
19,0.007700000000000001,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
20,0.0032999999999999995,-0.0031,-0.18333333333333332,0.0,0.0,1.0,True
21,-0.0041,0.0047,-0.18333333333333332,0.0,0.0,1.0,True
22,0.007500000000000001,-0.0011,-0.18333333333333332,0.0,0.0,1.0,True
23,0.0047,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
24,0.0026999999999999997,-0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
25,-0.00030000000000000003,0.0061,-0.18333333333333332,0.0,0.0,1.0,True
26,0.0081,-0.0031,-0.18333333333333332,0.0,0.0,1.0,True
27,-0.0065000000000000014,0.0015000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
28,-0.0021,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
29,0.0045000000000000005,-0.0085,-0.18333333333333332,0.0,0.0,1.0,True
30,-0.0059,-0.0051,-0.18333333333333332,0.0,0.0,1.0,True
31,-0.0023,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
32,0.005300000000000002,-0.0083,-0.18333333333333332,0.0,0.0,1.0,True
33,0.0015000000000000002,0.0037,-0.18333333333333332,0.0,0.0,1.0,True
34,0.0025,0.0005,-0.18333333333333332,0.0,0.0,1.0,True
35,0.0083,-0.0013000000000000002,-0.18333333333333332,0.0,0.0,1.0,True
36,-0.0057,0.007700000000000001,-0.18333333333333332,0.0,0.0,1.0,True
37,-0.0089,0.0026999999999999997,-0.18333333333333332,0.0,0.0,1.0,True
38,0.005300000000000002,0.0079,-0.18333333333333332,0.0,0.0,1.0,True
39,0.007700000000000001,0.0055000000000000005,-0.18333333333333332,0.0,0.0,1.0,True
40,-0.0023,-0.006300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
41,-0.0007000000000000001,0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
42,0.0083,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
43,-0.007300000000000001,0.0023,-0.18333333333333332,0.0,0.0,1.0,True
44,0.0093,-0.0021,-0.18333333333333332,0.0,0.0,1.0,True
45,-0.0037,0.0070999999999999995,-0.18333333333333332,0.0,0.0,1.0,True
46,-0.0021,0.0021,-0.18333333333333332,0.0,0.0,1.0,True
47,-0.0085,0.0009000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
48,0.0001,-0.0085,-0.18333333333333332,0.0,0.0,1.0,True
49,-0.00030000000000000003,-0.0091,-0.18333333333333332,0.0,0.0,1.0,True
50,0.004300000000000001,-0.0067,-0.18333333333333332,0.0,0.0,1.0,True
51,0.006300000000000001,-0.0057,-0.18333333333333332,0.0,0.0,1.0,True
52,-0.00030000000000000003,-0.0037,-0.18333333333333332,0.0,0.0,1.0,True
53,-0.0025,0.0091,-0.18333333333333332,0.0,0.0,1.0,True
54,-0.005300000000000002,-0.007300000000000001,-0.18333333333333332,0.0,0.0,1.0,True
55,0.0037,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
56,0.0021,0.0087,-0.18333333333333332,0.0,0.0,1.0,True
57,-0.006900000000000001,-0.0047,-0.18333333333333332,0.0,0.0,1.0,True
58,0.006900000000000001,0.0031,-0.18333333333333332,0.0,0.0,1.0,True
59,0.0087,0.0038999999999999994,-0.18333333333333332,0.0,0.0,1.0,True
60,0.0025,0.0009000000000000001,-0.18333333333333332,0.0,0.0,1.0,True
61,0.0001,0.0059,-0.18333333333333332,0.0,0.0,1.0,True
62,0.0057,0.0019,-0.18333333333333332,0.0,0.0,1.0,True
